Scene,Participant,variable,value
3D Ghost,P07,Sum,22.0
3D Ghost,P08,Sum,24.0
3D Ghost,P09,Sum,19.0
3D Ghost,P10,Sum,19.0
3D Ghost,P11,Sum,19.0
3D Ghost,P12,Sum,20.0
2D Label,P01,NASA-TLX Score,3.333333333
2D Label,P02,NASA-TLX Score,3.5
2D Label,P03,NASA-TLX Score,2.833333333
2D Label,P04,NASA-TLX Score,3.5
2D Label,P05,NASA-TLX Score,3.166666667
2D Label,P06,NASA-TLX Score,3.166666667
2D Label,P07,NASA-TLX Score,5.666666667
2D Label,P08,NASA-TLX Score,3.833333333
2D Label,P10,NASA-TLX Score,4.166666667
2D Label,P11,NASA-TLX Score,5.166666667
2D Label,P12,NASA-TLX Score,2.833333333
3D Ghost,P02,NASA-TLX Score,2.833333333
3D Ghost,P03,NASA-TLX Score,3.5
3D Ghost,P04,NASA-TLX Score,3.166666667
3D Ghost,P05,NASA-TLX Score,4.5
3D Ghost,P06,NASA-TLX Score,5.0
3D Ghost,P07,NASA-TLX Score,3.666666667
3D Ghost,P08,NASA-TLX Score,4.0
3D Ghost,P09,NASA-TLX Score,3.166666667
3D Ghost,P10,NASA-TLX Score,3.166666667
3D Ghost,P11,NASA-TLX Score,3.166666667
3D Ghost,P12,NASA-TLX Score,3.333333333
2D Label,P01,General discomfort,0.0
2D Label,P02,General discomfort,0.0
2D Label,P03,General discomfort,0.0
2D Label,P04,General discomfort,1.0
2D Label,P05,General discomfort,0.0
2D Label,P06,General discomfort,1.0
2D Label,P07,General discomfort,0.0
2D Label,P08,General discomfort,1.0
2D Label,P10,General discomfort,1.0
2D Label,P11,General discomfort,1.0
2D Label,P12,General discomfort,0.0
3D Ghost,P02,General discomfort,0.0
3D Ghost,P03,General discomfort,0.0
3D Ghost,P04,General discomfort,0.0
3D Ghost,P05,General discomfort,1.0
3D Ghost,P06,General discomfort,0.0
3D Ghost,P07,General discomfort,0.0
3D Ghost,P08,General discomfort,0.0
3D Ghost,P09,General discomfort,1.0
3D Ghost,P10,General discomfort,0.0
3D Ghost,P11,General discomfort,0.0
3D Ghost,P12,General discomfort,0.0
2D Label,P01,Fatigue,0.0
2D Label,P02,Fatigue,0.0
2D Label,P03,Fatigue,0.0
2D Label,P04,Fatigue,0.0
2D Label,P05,Fatigue,0.0
2D Label,P06,Fatigue,0.0
2D Label,P07,Fatigue,0.0
2D Label,P08,Fatigue,1.0
2D Label,P10,Fatigue,0.0
2D Label,P11,Fatigue,2.0
2D Label,P12,Fatigue,0.0
3D Ghost,P02,Fatigue,0.0
3D Ghost,P03,Fatigue,0.0
3D Ghost,P04,Fatigue,0.0
3D Ghost,P05,Fatigue,1.0
3D Ghost,P06,Fatigue,0.0
3D Ghost,P07,Fatigue,0.0
3D Ghost,P08,Fatigue,0.0
3D Ghost,P09,Fatigue,0.0
3D Ghost,P10,Fatigue,0.0
3D Ghost,P11,Fatigue,0.0
3D Ghost,P12,Fatigue,0.0
2D Label,P01,Headache,0.0
2D Label,P02,Headache,0.0
2D Label,P03,Headache,0.0
2D Label,P04,Headache,0.0
2D Label,P05,Headache,0.0
2D Label,P06,Headache,0.0
2D Label,P07,Headache,0.0
2D Label,P08,Headache,0.0
2D Label,P10,Headache,0.0
2D Label,P11,Headache,2.0
2D Label,P12,Headache,0.0
3D Ghost,P02,Headache,0.0
3D Ghost,P03,Headache,0.0
3D Ghost,P04,Headache,0.0
3D Ghost,P05,Headache,0.0
3D Ghost,P06,Headache,0.0
3D Ghost,P07,Headache,0.0
3D Ghost,P08,Headache,0.0
3D Ghost,P09,Headache,0.0
3D Ghost,P10,Headache,0.0
3D Ghost,P11,Headache,0.0
3D Ghost,P12,Headache,0.0
2D Label,P01,Eye strain,1.0
2D Label,P02,Eye strain,1.0
2D Label,P03,Eye strain,0.0
2D Label,P04,Eye strain,1.0
2D Label,P05,Eye strain,0.0
2D Label,P06,Eye strain,0.0
2D Label,P07,Eye strain,0.0
2D Label,P08,Eye strain,2.0
2D Label,P10,Eye strain,1.0
2D Label,P11,Eye strain,0.0
2D Label,P12,Eye strain,0.0
3D Ghost,P02,Eye strain,0.0
3D Ghost,P03,Eye strain,1.0
3D Ghost,P04,Eye strain,0.0
3D Ghost,P05,Eye strain,2.0
3D Ghost,P06,Eye strain,1.0
3D Ghost,P07,Eye strain,0.0
3D Ghost,P08,Eye strain,1.0
3D Ghost,P09,Eye strain,0.0
3D Ghost,P10,Eye strain,0.0
3D Ghost,P11,Eye strain,0.0
3D Ghost,P12,Eye strain,0.0
2D Label,P01,Difficulty focusing,0.0
2D Label,P02,Difficulty focusing,0.0
2D Label,P03,Difficulty focusing,0.0
2D Label,P04,Difficulty focusing,1.0
2D Label,P05,Difficulty focusing,0.0
2D Label,P06,Difficulty focusing,1.0
2D Label,P07,Difficulty focusing,2.0
2D Label,P08,Difficulty focusing,1.0
2D Label,P10,Difficulty focusing,1.0
2D Label,P11,Difficulty focusing,0.0
2D Label,P12,Difficulty focusing,0.0
3D Ghost,P02,Difficulty focusing,1.0
3D Ghost,P03,Difficulty focusing,0.0
3D Ghost,P04,Difficulty focusing,0.0
3D Ghost,P05,Difficulty focusing,1.0
